response_id,age_group,gender,city_tier,primary_hair_concern,hairfall_severity,current_brand,satisfaction_score,willingness_to_pay_inr,purchase_frequency,ingredient_preference,feedback_text
RESP_0001,25-34,Male,Tier 3,Hairfall,Mild (Seasonal),Head & Shoulders,10,499,Quarterly,Chemical/Scientific,Nothing works on my scalp.
RESP_0002,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,3,699,Bi-Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0003,45-54,Female,Tier 2,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,8,250,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0004,18-24,Female,Tier 2,Oily Scalp,Severe (Visible Thinning),Tresemme,4,250,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0005,45-54,Female,Tier 1,Dryness,Moderate (Clumps),Pantene,1,699,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0006,35-44,Female,Tier 1,Dryness,Moderate (Clumps),Dove,10,250,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0007,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Tresemme,8,499,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0008,25-34,Female,Tier 1,Dryness,Moderate (Clumps),Head & Shoulders,1,699,Quarterly,No Preference,Good but causes dandruff.
RESP_0009,18-24,Other,Tier 1,Hairfall,Mild (Seasonal),Dove,2,699,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0010,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,9,399,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0011,25-34,Male,Tier 1,Frizz,Mild (Seasonal),Head & Shoulders,4,399,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0012,35-44,Female,Tier 3,Hairfall,Moderate (Clumps),Tresemme,2,699,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0013,55+,Male,Tier 1,Hairfall,Severe (Visible Thinning),Mamaearth,4,499,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
